"Week","christmas","amazon","rakhi","diwali","country"
2019-09-08,1,20,1,3,"India"
2019-09-15,1,22,1,3,"India"
2019-09-22,1,28,1,4,"India"
2019-09-29,1,47,1,5,"India"
2019-10-06,1,29,1,8,"India"
2019-10-13,1,33,1,14,"India"
2019-10-20,1,31,1,48,"India"
2019-10-27,1,23,1,50,"India"
2019-11-03,1,21,1,4,"India"
2019-11-10,1,21,1,2,"India"
2019-11-17,2,21,1,1,"India"
2019-11-24,2,21,1,1,"India"
2019-12-01,5,21,1,1,"India"
2019-12-08,7,21,1,1,"India"
2019-12-15,11,22,0,1,"India"
2019-12-22,34,23,1,1,"India"
2019-12-29,2,22,1,1,"India"
2020-01-05,1,20,0,1,"India"
2020-01-12,1,22,0,1,"India"
2020-01-19,1,25,0,1,"India"
2020-01-26,1,20,0,1,"India"
2020-02-02,0,21,0,1,"India"
2020-02-09,1,20,0,1,"India"
2020-02-16,1,21,1,1,"India"
2020-02-23,0,20,0,1,"India"
2020-03-01,0,21,0,1,"India"
2020-03-08,0,22,0,1,"India"
2020-03-15,0,23,0,1,"India"
2020-03-22,0,22,0,1,"India"
2020-03-29,0,17,1,1,"India"
2020-04-05,0,17,1,1,"India"
2020-04-12,0,18,1,1,"India"
2020-04-19,0,19,1,1,"India"
2020-04-26,0,18,1,1,"India"
2020-05-03,0,22,1,1,"India"
2020-05-10,0,23,1,1,"India"
2020-05-17,0,30,1,1,"India"
2020-05-24,0,32,1,1,"India"
2020-05-31,0,31,1,1,"India"
2020-06-07,0,32,1,1,"India"
2020-06-14,0,30,1,1,"India"
2020-06-21,0,32,1,1,"India"
2020-06-28,0,32,1,1,"India"
2020-07-05,0,32,2,1,"India"
2020-07-12,0,31,4,1,"India"
2020-07-19,0,33,5,1,"India"
2020-07-26,0,32,8,1,"India"
2020-08-02,0,40,11,2,"India"
2020-08-09,0,34,1,2,"India"
2020-08-16,0,30,1,2,"India"
2020-08-23,0,29,1,2,"India"
2020-08-30,0,30,1,2,"India"
2020-09-06,0,29,1,2,"India"
2020-09-13,0,27,1,3,"India"
2020-09-20,0,25,1,2,"India"
2020-09-27,0,27,1,3,"India"
2020-10-04,0,27,0,4,"India"
